address,eligible_ousd_value_human,ousd_compensation_human,ogn_compensation_human,eligible_ousd_value,ousd_compensation,ogn_compensation
0x19f18Ecd93cA130A24035EdE88159F83B6576CC8,"5,069.62","2,017.41","20,457.21",5.069621019101784e+21,2017405254775445913600,20457210216664462069705
0x19Ff4d0AB81f0D689b62B18eE2367a503eb8ebAD,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x1b4FD1fD2EE9fbC64BB42D261671baA1d17FE62F,"2,473.48","1,368.37","7,406.88",2.473475771886979e+21,1368368942971744813056,7406882231335351468954
0x1b65Eb05a5d3518c6d787f34fdfB5e3af10aD92C,30.08,30.08,0.00,3.0079819334963753e+19,3.0079819334963753e+19,0
0x1c11eCBbA07f6f122feF22caec28DAEE5ed1C908,"1,832.73","1,208.18","4,185.97",1.8327279780959614e+21,1208181994523990360064,4185965037345650671528
0x1c47Fb66197F84ce3d92B1EBab9DFBAa656E8150,"9,759.66","3,189.92","44,033.17",9.759664569082402e+21,3189916142270600445952,44033166399542904409222
0x1dBd50789454E3D5Be40E04e5cDf31f6A043bE10,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x1E017d65d30BD3fAE1Cee47f32b83227B378fD41,"38,742.33","10,435.58","189,723.49",3.8742325846303155e+22,10435581461575788658688,189723487833293337641179
0x1e63533Ac76750BE29Be862c351119bDb52395B1,1.01,1.01,0.00,1.0082229120881423e+18,1.0082229120881423e+18,0
0x1EaA5B344452d146527a9d8a11F86B119770c8E3,1.01,1.01,0.00,1.0081781216436292e+18,1.0081781216436292e+18,0
0x1Fb8c135D4F963879a75E670d9A1Fa9d3e73c355,97.06,97.06,0.00,9.705731649471023e+19,9.705731649471023e+19,0
0x20b958BBeB833f79Bd7E4B4165D4123B2F904cC8,205.39,205.39,0.00,2.0539303432849693e+20,2.0539303432849693e+20,0
0x2107dC09Fd3C7127749C1A47C84E4A33D6e72F1A,"3,493.33","1,623.33","12,533.51",3.493332161142495e+21,1623333040285623779328,12533506171962944624557
0x214a64A9532C6cda06903b77a58049E5d0224968,415.27,415.27,0.00,4.152687927168668e+20,4.152687927168668e+20,0
0x21699F05cd7FAf2165512703af577afaDDA0458f,"100,275.52","25,818.88","499,039.13",1.002755166408819e+23,25818879160220474933248,499039125205505528148418
